placeholder_id,chapter,section,claim,citation_key,authors,title,year,journal_or_conference,volume,issue,pages,doi,official_source,verified,recommended_in_text_citation,notes
P01,第二章,2.1 胸腔 X 光影像分析,胸腔 X 光為常見且可近的影像檢查；自動化胸腔 X 光分析常以多標籤分類/定位資料集作為研究基礎。,BRODER_CXR_2011,Joshua Broder,Imaging the Chest: The Chest Radiograph,2011,Diagnostic Imaging for the Emergency Physician,,,185-296,10.1016/B978-1-4160-6113-7.10005-5,https://scholars.duke.edu/publication/964986,yes,[1],Broder 可支持胸腔 X 光檢查特性與臨床使用脈絡；ChestX-ray8 與 CheXpert 可支持胸腔 X 光自動化、多標籤與 benchmark 研究背景。 Remaining check: 若正文要描述特定臨床適應症，需另補專門臨床指引；目前第二章技術背景可安全引用。
P01,第二章,2.1 胸腔 X 光影像分析,胸腔 X 光為常見且可近的影像檢查；自動化胸腔 X 光分析常以多標籤分類/定位資料集作為研究基礎。,WANG_CHESTX8_2017,Xiaosong Wang; Yifan Peng; Le Lu; Zhiyong Lu; Mohammadhadi Bagheri; Ronald M. Summers,ChestX-ray8: Hospital-Scale Chest X-Ray Database and Benchmarks on Weakly-Supervised Classification and Localization of Common Thorax Diseases,2017,IEEE Conference on Computer Vision and Pattern Recognition (CVPR),,,2097-2106,,https://openaccess.thecvf.com/content_cvpr_2017/html/Wang_ChestX-ray8_Hospital-Scale_Chest_CVPR_2017_paper.html,yes,[2],Broder 可支持胸腔 X 光檢查特性與臨床使用脈絡；ChestX-ray8 與 CheXpert 可支持胸腔 X 光自動化、多標籤與 benchmark 研究背景。 Remaining check: 若正文要描述特定臨床適應症，需另補專門臨床指引；目前第二章技術背景可安全引用。
P01,第二章,2.1 胸腔 X 光影像分析,胸腔 X 光為常見且可近的影像檢查；自動化胸腔 X 光分析常以多標籤分類/定位資料集作為研究基礎。,IRVIN_CHEXPERT_2019,Jeremy Irvin et al.,CheXpert: A Large Chest Radiograph Dataset with Uncertainty Labels and Expert Comparison,2019,Proceedings of the AAAI Conference on Artificial Intelligence,33,01,590-597,10.1609/aaai.v33i01.3301590,https://ojs.aaai.org/index.php/AAAI/article/view/3834,yes,[3],Broder 可支持胸腔 X 光檢查特性與臨床使用脈絡；ChestX-ray8 與 CheXpert 可支持胸腔 X 光自動化、多標籤與 benchmark 研究背景。 Remaining check: 若正文要描述特定臨床適應症，需另補專門臨床指引；目前第二章技術背景可安全引用。
P02,第二章,2.2 深度學習影像分類,深度學習與卷積神經網路已廣泛用於醫學影像分析，並可從資料中學習階層式表徵。,LITJENS_DL_MEDICAL_IMAGE_2017,Geert Litjens et al.,A survey on deep learning in medical image analysis,2017,Medical Image Analysis,42,,60-88,10.1016/j.media.2017.07.005,https://pubmed.ncbi.nlm.nih.gov/28778026/,yes,[4],兩篇綜述皆直接討論深度學習在醫學影像分類、偵測、分割與特徵學習上的應用。 Remaining check: 本段若要提 ConvNeXt，建議移至 2.5 或另以 ConvNeXt 原論文支持。
P02,第二章,2.2 深度學習影像分類,深度學習與卷積神經網路已廣泛用於醫學影像分析，並可從資料中學習階層式表徵。,SHEN_DL_MEDICAL_IMAGE_2017,Dinggang Shen; Guorong Wu; Heung-Il Suk,Deep Learning in Medical Image Analysis,2017,Annual Review of Biomedical Engineering,19,,221-248,10.1146/annurev-bioeng-071516-044442,https://doi.org/10.1146/ANNUREV-BIOENG-071516-044442,yes,[5],兩篇綜述皆直接討論深度學習在醫學影像分類、偵測、分割與特徵學習上的應用。 Remaining check: 本段若要提 ConvNeXt，建議移至 2.5 或另以 ConvNeXt 原論文支持。
P03,第二章,2.3 Vision Transformer 與自監督學習,ViT 以影像 patch 序列作為輸入；DINOv2 類自監督方法可學習可轉移視覺特徵；RAD-DINO 是醫學影像 encoder。,DOSOVITSKIY_VIT_2021,Alexey Dosovitskiy et al.,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,2021,International Conference on Learning Representations (ICLR),,,,10.48550/arXiv.2010.11929,https://arxiv.org/abs/2010.11929,yes,[6],ViT 原文支持 patch-based Transformer；DINOv2 原文支持自監督視覺特徵；RAD-DINO 原文支持醫學影像 encoder 背景。 Remaining check: RAD-DINO 在本專題中作 frozen teacher 且不是最終 Demo 推論模型，屬專案事實，應同時由 evidence trace 支持。
P03,第二章,2.3 Vision Transformer 與自監督學習,ViT 以影像 patch 序列作為輸入；DINOv2 類自監督方法可學習可轉移視覺特徵；RAD-DINO 是醫學影像 encoder。,OQUAB_DINOV2_2024,Maxime Oquab et al.,DINOv2: Learning Robust Visual Features without Supervision,2024,Transactions on Machine Learning Research / arXiv,,,,10.48550/arXiv.2304.07193,https://arxiv.org/abs/2304.07193,yes,[7],ViT 原文支持 patch-based Transformer；DINOv2 原文支持自監督視覺特徵；RAD-DINO 原文支持醫學影像 encoder 背景。 Remaining check: RAD-DINO 在本專題中作 frozen teacher 且不是最終 Demo 推論模型，屬專案事實，應同時由 evidence trace 支持。
P03,第二章,2.3 Vision Transformer 與自監督學習,ViT 以影像 patch 序列作為輸入；DINOv2 類自監督方法可學習可轉移視覺特徵；RAD-DINO 是醫學影像 encoder。,PEREZ_GARCIA_RADDINO_2025,Fernando Pérez-García et al.,Exploring scalable medical image encoders beyond text supervision,2025,Nature Machine Intelligence,7,,119-130,10.1038/s42256-024-00965-w,https://www.nature.com/articles/s42256-024-00965-w,yes,[8],ViT 原文支持 patch-based Transformer；DINOv2 原文支持自監督視覺特徵；RAD-DINO 原文支持醫學影像 encoder 背景。 Remaining check: RAD-DINO 在本專題中作 frozen teacher 且不是最終 Demo 推論模型，屬專案事實，應同時由 evidence trace 支持。
P04,第二章,2.4 RAD-DINO 醫學影像基礎模型,RAD-DINO 是以醫學影像為主的可擴展 image encoder；可作為本研究 feature teacher 的相關方法依據。,PEREZ_GARCIA_RADDINO_2025,Fernando Pérez-García et al.,Exploring scalable medical image encoders beyond text supervision,2025,Nature Machine Intelligence,7,,119-130,10.1038/s42256-024-00965-w,https://www.nature.com/articles/s42256-024-00965-w,yes,[8],Nature Machine Intelligence 論文正式介紹 RAD-DINO 的醫學影像 encoder 定位、訓練方向與下游任務評估。 Remaining check: CLS/patch feature 的實際 tensor 形狀與本專題使用方式須引用 evidence package，而不是由 RAD-DINO 論文推導。
P05,第二章,2.5 ConvNeXt,ConvNeXt 是現代化卷積神經網路家族；本研究採用 ConvNeXt-Tiny 作 student/backbone 屬專案設計。,LIU_CONVNEXT_2022,Zhuang Liu; Hanzi Mao; Chao-Yuan Wu; Christoph Feichtenhofer; Trevor Darrell; Saining Xie,A ConvNet for the 2020s,2022,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,11976-11986,,https://openaccess.thecvf.com/content/CVPR2022/html/Liu_A_ConvNet_for_the_2020s_CVPR_2022_paper.html,yes,[9],ConvNeXt 原論文提出 modernized ConvNet family，支持 ConvNeXt 作為現代 CNN backbone 的背景敘述。 Remaining check: ConvNeXt-Tiny 具體用於 student 與 Full-image 初始化的事實應以專案訓練設定與 evidence trace 支持。
