file,row,field,before,after,reason
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,2,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\0007d316f756b3fa0baea2ff514ce945.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\0007d316f756b3fa0baea2ff514ce945.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,3,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\00bcb82818ea83d6a86df241762cd7d0.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\00bcb82818ea83d6a86df241762cd7d0.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,4,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\0108949daa13dc94634a7d650a05c0bb.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\0108949daa13dc94634a7d650a05c0bb.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,5,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\010a3dbb67bc37800a041866844861b1.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\010a3dbb67bc37800a041866844861b1.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,6,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\011ae9520e81f1efe71c9d954ec07d09.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\011ae9520e81f1efe71c9d954ec07d09.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,7,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\01546d3e6175ceaabd7d92f0c566579d.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\01546d3e6175ceaabd7d92f0c566579d.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,8,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\01a3c3d994d85ce5634d2d13c03fd4b0.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\01a3c3d994d85ce5634d2d13c03fd4b0.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,9,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\01c2b9fcb0384c84648ed76c736552a8.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\01c2b9fcb0384c84648ed76c736552a8.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,10,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\0211f9fe31142ba1e25fb6a2ea3fea38.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\0211f9fe31142ba1e25fb6a2ea3fea38.png,mapped_to_project3_raw_png
C:\Users\09688\thoracic-cxr-project-3\data\metadata\image_manifest.csv,11,source_image_path,C:\Users\09688\thoracic-cxr-project\data\raw\dicom_files\028fcc44d3104099480e897541a1ecc3.dicom,C:\Users\09688\thoracic-cxr-project-3\data\raw\images\028fcc44d3104099480e897541a1ecc3.png,mapped_to_project3_raw_png
