order,section,figure_name,source_path,required_or_appendix,main_message,oral_explanation,teacher_question_it_answers
1,Overall Test Results,Three-model overall metrics,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\overall_metrics_three_models.png,required,"No model leads every metric; overall differences are small.","Baseline leads macro F1, Patch leads loss and weighted F1, and CLS narrowly leads macro AUROC.","Which model is best overall?"
2,Per-class Results,Per-class F1 comparison,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\per_class_f1_three_models.png,required,"Patch improves Pleural thickening but reduces Pleural effusion F1.","The effect is class-specific rather than a uniform improvement.","Which diseases benefit or deteriorate?"
3,Confusion Matrices,Baseline confusion matrix,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\confusion_matrix_baseline.png,appendix,"Baseline reference error distribution.","Use this as the reference matrix for interpreting CLS and Patch changes.","What is the baseline error pattern?"
4,Confusion Matrices,CLS confusion matrix,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\confusion_matrix_cls.png,appendix,"CLS distillation only modestly changes the baseline error pattern.","Most differences are concentrated in Pleural thickening and Pleural effusion.","How did CLS distillation change errors?"
5,Confusion Matrices,Patch confusion matrix,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\confusion_matrix_patch.png,required,"Patch shifts predictions from class 4 toward class 2.","Class 2 correct predictions increase to 65 while class 4 correct predictions fall to 42.","What did Patch distillation change?"
6,Class 2/4 Trade-off,Pleural thickening and effusion confusion comparison,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\class2_class4_confusion_comparison.png,required,"Patch reduces class 2 to 4 errors but increases class 4 to 2 errors.","This is the clearest evidence of a decision-boundary trade-off.","Why did class 2 improve while class 4 declined?"
7,Statistical Analysis,Cluster bootstrap CI for macro F1,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\cluster_bootstrap_ci_macro_f1.png,required,"All paired 95% confidence intervals cross zero.","Resampling is performed by source-image cluster, not independent ROI.","Are the model differences statistically supported?"
8,Patch Phase 1,Patch normalized MSE curve,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_patch_experiment_seed42\phase1_patch_distillation\figures\patch_monitor_mse_curve.png,required,"Patch feature alignment continues improving through epoch 84.","MSE declines from 0.0010347 to 0.0002644.","Did Patch distillation converge successfully?"
9,Patch Phase 1,Patch cosine similarity curve,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_patch_experiment_seed42\phase1_patch_distillation\figures\patch_cosine_curve.png,required,"Teacher-student patch cosine similarity reaches 0.8985.","The student learned a close directional match to the teacher patch representation.","How strong was teacher-student feature alignment?"
10,Training Dynamics,Validation macro F1 curves,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\validation_macro_f1_curves.png,appendix,"The three models reach their best validation checkpoints at different epochs.","This supports the fixed early-stopping and checkpoint-selection audit.","Were checkpoints selected consistently?"
11,Training Efficiency,Three-model training efficiency,C:\Users\09688\thoracic-cxr-project-3\outputs\raddino_convnext_tiny_three_model_comparison_seed42\figures\training_efficiency_three_models.png,required,"Patch Phase 2 reaches its best checkpoint sooner, but Phase 1 adds substantial cost.","Compare 25/19/14 Phase 2 epochs while separately acknowledging the roughly 64-minute Patch Phase 1.","Is Patch distillation computationally worthwhile?"
