file_path,category,purpose,status,main_functions,imports,inputs,outputs,formal_or_legacy,thesis_section,evidence_level,notes
_cleanup_quarantine/20260721T184813963710Z/app_full_image_multilabel_ollama_gradio_before_exact_layout.py,quarantine,隔離備份，不作正式流程證據,legacy,utc_now; timestamp_slug; sha256_file; atomic_write_text; atomic_write_json; atomic_write_csv; resolve_path; dependency_versions; port_available; find_port_pids; select_port; check_output_write_permission; patient_info; prediction_csv_row; pure_model_prediction; ground_truth_payload; generate_report_safe; predicted_label_names; build_followup_guidance; ensure_disclaimer; append_followup_guidance; markdown_to_plain_text; report_font; wrapped_pdf_lines; write_report_pdf; html_text; paragraph_html; patient_display_value; predicted_pairs; report_payload_from_prediction; predicted_positive_sentence; markdown_section; remove_technical_report_lines; report_findings_text; clinical_diagnosis_html,PIL; __future__; argparse; csv; datetime; full_image_multilabel_inference_service; full_image_multilabel_ollama_service; full_image_multilabel_report_prompt; gradio; hashlib; html; importlib.metadata; inspect; json; numpy; os; pandas; pathlib; platform; re; shutil; socket; sys; tempfile; textwrap,data.json; data.version; dataframe; dataframe-container; outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,"CLI args=""--project-root"", type=Path, default=PROJECT_DEFAULT; ""--model"", type=Path, default=DEFAULT_MODEL_RELATIVE; ""--thresholds"", type=Path, default=DEFAULT_THRESHOLDS_RELATIVE; ""--catalog"", type=Path, default=DEFAULT_CATALOG_RELATIVE; ""--output-dir"", type=Path, default=DEFAULT_OUTPUT_RELATIVE; ""--device"", default=""auto"""
_cleanup_quarantine/20260721T184813963710Z/app_full_image_multilabel_ollama_gradio_before_redesign.py,quarantine,隔離備份，不作正式流程證據,legacy,utc_now; timestamp_slug; sha256_file; atomic_write_text; atomic_write_json; atomic_write_csv; resolve_path; dependency_versions; port_available; find_port_pids; select_port; check_output_write_permission; patient_info; prediction_csv_row; pure_model_prediction; ground_truth_payload; generate_report_safe; predicted_label_names; build_followup_guidance; ensure_disclaimer; append_followup_guidance; markdown_to_plain_text; report_font; wrapped_pdf_lines; write_report_pdf; html_text; paragraph_html; patient_display_value; predicted_pairs; report_payload_from_prediction; predicted_positive_sentence; markdown_section; remove_technical_report_lines; report_findings_text; report_impression_items,PIL; __future__; argparse; csv; datetime; full_image_multilabel_inference_service; full_image_multilabel_ollama_service; full_image_multilabel_report_prompt; gradio; hashlib; html; importlib.metadata; inspect; json; numpy; os; pandas; pathlib; platform; re; shutil; socket; sys; tempfile; textwrap,data.json; data.version; dataframe; dataframe-container; outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,"CLI args=""--project-root"", type=Path, default=PROJECT_DEFAULT; ""--model"", type=Path, default=DEFAULT_MODEL_RELATIVE; ""--thresholds"", type=Path, default=DEFAULT_THRESHOLDS_RELATIVE; ""--catalog"", type=Path, default=DEFAULT_CATALOG_RELATIVE; ""--output-dir"", type=Path, default=DEFAULT_OUTPUT_RELATIVE; ""--device"", default=""auto"""
_cleanup_quarantine/20260721T184813963710Z/app_full_image_multilabel_ollama_gradio_fixed.py.py,quarantine,隔離備份，不作正式流程證據,legacy,,,data.json; data.version; dataframe; dataframe-container; outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,outputs/full_image_224_multilabel_seed42/phase0_dataset/test_manifest.csv; outputs/full_image_224_multilabel_seed42/phase0_dataset/val_manifest.csv; outputs/full_image_multilabel_gradio_demo,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,"SyntaxError: invalid syntax (<unknown>, line 2513)"
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/ground_truth_comparison.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/input_metadata.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/model_prediction.csv,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/model_prediction.json,quarantine,隔離備份，不作正式流程證據,legacy,,,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/ollama_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/ollama_report.txt,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151221538949Z_b76b9e75/session_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/ground_truth_comparison.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/input_metadata.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/model_prediction.csv,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/model_prediction.json,quarantine,隔離備份，不作正式流程證據,legacy,,,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/ollama_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/ollama_report.txt,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T151324848210Z_3114b891/session_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/ground_truth_comparison.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/input_metadata.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/model_prediction.csv,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/model_prediction.json,quarantine,隔離備份，不作正式流程證據,legacy,,,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/ollama_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/ollama_report.txt,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152003656330Z_6ae70e65/session_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/ground_truth_comparison.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/input_metadata.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/model_prediction.csv,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/model_prediction.json,quarantine,隔離備份，不作正式流程證據,legacy,,,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\checkpoints\\full_image_multilabel_patch_transfer.pt; outputs\\full_image_224_multilabel_seed42\\phase2_patch_transfer\\validation_selected_thresholds.json,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/ollama_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/ollama_audit_regenerated_20260721T152341770303Z.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/ollama_report.txt,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/ollama_report_regenerated_20260721T152341770303Z.txt,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T152330337349Z_a2defe2a/session_audit.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
_cleanup_quarantine/20260721T184813963710Z/outputs/full_image_multilabel_gradio_demo/sessions/20260721T160018617622Z_c9983241/ground_truth_comparison.json,quarantine,隔離備份，不作正式流程證據,legacy,,,,,legacy,方法/系統實作：Full-image 多標籤與 Demo,low,
