chapter,section,marker,reason,required_evidence,safe_current_wording
第二章,2.1 胸腔 X 光影像分析,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.2 深度學習影像分類,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.3 Vision Transformer 與自監督學習,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.4 RAD-DINO 醫學影像基礎模型,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.5 ConvNeXt,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.6 知識蒸餾,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.7 CLS 與 Patch 特徵,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.8 多標籤分類,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第二章,2.9 大型語言模型輔助報告生成,〔待補正式文獻〕,目前 evidence package 不含正式外部文獻清單。,正式論文參考文獻與引用格式。,先以技術背景保守描述，定稿前補入正式文獻。
第三章,3.3,〔待確認〕,僅找到 summary 層級人工審查報告，未找到逐筆人工審查 CSV。,逐筆人工審查紀錄或正式 QC 報告。,僅描述 summary 層級品質檢查，不宣稱逐張臨床審查。
第三章,3.4,〔待確認〕,可由輸出檔案驗證 factor，但未找到 brightness 產生器與抽樣策略。,brightness augmentation generator 或執行紀錄。,由 manifest 與檔名反向驗證，而非宣稱特定隨機公式。
第三章,3.16,〔待確認〕,第二輪 evidence 未統一列出完整硬體與套件版本。,正式環境紀錄或 requirements/version audit。,僅描述已驗證 training config，不寫未確認硬體規格。
第四章,4.10,〔待確認〕,Full-image multilabel 未見 bootstrap CI。,Full-image bootstrap 統計輸出。,僅報告 point estimate，不做顯著性主張。
第四章,4.10,〔待確認〕,未見外部測試集 metrics。,外部資料集正式評估結果。,僅宣稱於既有 test split 上評估。
