chapter,section,claim,value,source_file,source_function_or_field,verification_status,notes
第三章,3.1,正式五類名稱與順序,"Aortic enlargement, Cardiomegaly, Pleural thickening, Pulmonary fibrosis, Pleural effusion",15_final_verified_thesis_facts.md,第 1 節,verified,
第三章,3.4,Balanced ROI rows,4725,05_verified_dataset_counts.csv,ROI balanced feature cache / all / ALL / roi_rows,verified,
第三章,3.4,Brightness augmented rows,469,05_verified_dataset_counts.csv; 14_conflict_resolution.md,brightness_augmented_rows,verified,
第三章,3.5,ROI train/val/test split rows,"train 3770, val 454, test 454",05_verified_dataset_counts.csv,ROI phase2 grouped split,verified,
第三章,3.6,RAD-DINO CLS feature shape,"[4725, 768]",07_model_training_settings.csv,RAD-DINO CLS teacher cache / output,verified,
第三章,3.7,RAD-DINO Patch feature shape,"[4725, 768, 7, 7]",07_model_training_settings.csv,RAD-DINO Patch teacher cache / output,verified,
第四章,4.2/4.3,CLS/Patch distillation results,CLS cosine 0.8480030057; Patch monitor cosine 0.89846133,06_verified_metrics.csv,Phase1 CLS distillation; Phase1 Patch distillation,verified,
第三章,3.12,Full-image initialization source,ROI Patch Proposed exported checkpoint,15_final_verified_thesis_facts.md,第 5 節,verified,
第三章,3.13,Full-image train/val/test image count,472/59/59,05_verified_dataset_counts.csv,Full-image phase0 split,verified,
第三章,3.14,Threshold source,validation only; test_used False,validation_selected_thresholds.json,source_split/test_used,verified,
第四章,4.4,ROI formal comparison metrics,Baseline accuracy 0.799559; Patch accuracy 0.799559,overall_metrics_comparison.csv,accuracy/macro_f1/weighted_f1/macro_auroc,verified,
第四章,4.6,Bootstrap conclusion,All principal 95% CI include zero,cluster_bootstrap_results.csv,ci_includes_zero,verified,
第四章,4.7,Full-image test macro/micro F1,0.7865085676876251 / 0.7858942065491183,test_metrics.json,macro_f1/micro_f1,verified,
第五章,5.7,Ground Truth isolation,GT not input to model or Ollama,09_demo_execution_flow.md; full_image_multilabel_inference_service.py,_lookup_ground_truth / ollama_payload,verified,
第四章,4.7,Full-image exact subset accuracy,0.1694915254237288,test_metrics.json,exact_match_subset_accuracy,verified,Not comparable to ROI Accuracy.
第三章,3.14,Thresholds,"0.50, 0.50, 0.39, 0.36, 0.34",validation_selected_thresholds.json,thresholds,verified,
第三章,3.10,ROI Phase2 optimizer/loss,CrossEntropyLoss; AdamW with CosineAnnealingLR,07_model_training_settings.csv,ImageNet/CLS/Patch Proposed rows,verified,
第三章,3.13,Full-image loss/activation,BCEWithLogitsLoss; Sigmoid for inference,07_model_training_settings.csv; train_full_image_224_multilabel_patch_transfer.py,loss/activation,verified,
第五章,5.8,Ollama role,Generate explanation from local model output only,09_demo_execution_flow.md,Ollama service and report prompt,verified,
