stage,dataset,split,class,count_type,count,source_file,source_field,verification_status,notes
ROI 224 original,ROI single-label,all,ALL,roi_rows,4546,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,row_count,verified,
ROI 224 original,ROI single-label,all,Aortic enlargement,roi_rows,772,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,class_name,verified,
ROI 224 original,ROI single-label,all,Cardiomegaly,roi_rows,783,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,class_name,verified,
ROI 224 original,ROI single-label,all,Pleural thickening,roi_rows,1118,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,class_name,verified,
ROI 224 original,ROI single-label,all,Pulmonary fibrosis,roi_rows,1062,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,class_name,verified,
ROI 224 original,ROI single-label,all,Pleural effusion,roi_rows,811,outputs/raddino_convnext_tiny_experiment_seed42/phase2_split/original_roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,ALL,roi_rows,4725,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,row_count,verified,"945 per class, seed 42"
ROI balanced feature cache,ROI single-label balanced,all,ALL,original_roi_rows,4256,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI balanced feature cache,ROI single-label balanced,all,ALL,brightness_augmented_rows,469,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI balanced feature cache,ROI single-label balanced,all,Aortic enlargement,roi_rows,945,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,Aortic enlargement,brightness_augmented_rows,173,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI balanced feature cache,ROI single-label balanced,all,Cardiomegaly,roi_rows,945,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,Cardiomegaly,brightness_augmented_rows,162,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI balanced feature cache,ROI single-label balanced,all,Pleural thickening,roi_rows,945,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,Pleural thickening,brightness_augmented_rows,0,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
ROI balanced feature cache,ROI single-label balanced,all,Pulmonary fibrosis,roi_rows,945,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,class_name,verified,
ROI balanced feature cache,ROI single-label balanced,all,Pulmonary fibrosis,brightness_augmented_rows,0,outputs/raddino_feature_cache/balanced_945_seed42/roi_manifest.csv,is_brightness_augmented,verified,
